"site_id","lat","lon","state","common_name","species_id","func_type","id","phenophase_id","phenophase","year","first_yes","prior_no","elev"
53443,42.366814,-71.095055,"MA","staghorn sumac",315,"Deciduous broadleaf",336298,471,"Falling leaves",2025,197,4,3
53443,42.366814,-71.095055,"MA","fragrant sumac",1367,"Deciduous broadleaf",336312,498,"Colored leaves",2025,245,6,3
55914,44.177029,-122.135963,"OR","bigleaf maple",1,"Deciduous broadleaf",346670,498,"Colored leaves",2025,211,8,434
55914,44.177029,-122.135963,"OR","black cottonwood",1481,"Deciduous broadleaf",346672,498,"Colored leaves",2025,234,13,434
55914,44.177029,-122.135963,"OR","black cottonwood",1481,"Deciduous broadleaf",346672,471,"Falling leaves",2025,256,1,434
48555,33.813538,-84.28347,"GA","smooth sumac",994,"Deciduous broadleaf",346691,498,"Colored leaves",2025,213,12,309
48555,33.813538,-84.28347,"GA","American witchhazel",76,"Deciduous broadleaf",346693,498,"Colored leaves",2025,241,15,309
48555,33.813538,-84.28347,"GA","red buckeye",784,"Deciduous broadleaf",346694,498,"Colored leaves",2025,213,12,309
48555,33.813538,-84.28347,"GA","red buckeye",784,"Deciduous broadleaf",346694,471,"Falling leaves",2025,241,15,309
48555,33.813538,-84.28347,"GA","black chokeberry",1849,"Deciduous broadleaf",346695,471,"Falling leaves",2025,226,25,309
48555,33.813538,-84.28347,"GA","common serviceberry",1431,"Deciduous broadleaf",346697,498,"Colored leaves",2025,213,12,309
48555,33.813538,-84.28347,"GA","common serviceberry",1431,"Deciduous broadleaf",346697,471,"Falling leaves",2025,241,15,309
48555,33.813538,-84.28347,"GA","New Jersey tea",827,"Deciduous broadleaf",346698,498,"Colored leaves",2025,226,13,309
48555,33.813538,-84.28347,"GA","common ninebark",2270,"Deciduous broadleaf",346706,498,"Colored leaves",2025,213,12,309
48555,33.813538,-84.28347,"GA","common ninebark",2270,"Deciduous broadleaf",346706,471,"Falling leaves",2025,241,15,309
48555,33.813538,-84.28347,"GA","Darrow's blueberry",2289,"Semi-evergreen broadleaf",346708,498,"Colored leaves",2025,226,13,309
22580,42.077522,-72.558563,"MA","American hazelnut",71,"Deciduous broadleaf",346843,498,"Colored leaves",2025,270,3,55
22580,42.077522,-72.558563,"MA","American hazelnut",71,"Deciduous broadleaf",346843,471,"Falling leaves",2025,270,3,55
22580,42.077522,-72.558563,"MA","American witchhazel",76,"Deciduous broadleaf",346844,498,"Colored leaves",2025,267,4,55
55475,44.391373,-122.510979,"OR","Indian plum",942,"Deciduous broadleaf",346907,498,"Colored leaves",2025,220,16,243
55475,44.391373,-122.510979,"OR","Indian plum",942,"Deciduous broadleaf",346907,471,"Falling leaves",2025,268,7,243
55475,44.391373,-122.510979,"OR","vine maple",777,"Deciduous broadleaf",346908,498,"Colored leaves",2025,220,16,243
32040,46.822037,-92.080338,"MN","green ash",75,"Deciduous broadleaf",346964,498,"Colored leaves",2025,271,4,332
32040,46.822037,-92.080338,"MN","green ash",75,"Deciduous broadleaf",346966,498,"Colored leaves",2025,267,3,332
33579,46.79715,-92.081703,"MN","green ash",75,"Deciduous broadleaf",346969,498,"Colored leaves",2025,260,10,197
33579,46.79715,-92.081703,"MN","green ash",75,"Deciduous broadleaf",346970,498,"Colored leaves",2025,270,10,197
8211,41.256336,-73.455582,"CT","common buttonbush",201,"Deciduous broadleaf",347061,498,"Colored leaves",2025,192,7,190
48316,39.627636,-86.38002,"IN","sugar maple",61,"Deciduous broadleaf",347140,498,"Colored leaves",2025,211,19,220
48316,39.627636,-86.38002,"IN","red chokeberry",1200,"Deciduous broadleaf",347150,498,"Colored leaves",2025,211,19,220
56087,39.033443,-77.018204,"MD","sourwood",1187,"Deciduous broadleaf",347347,498,"Colored leaves",2025,242,8,109
56087,39.033443,-77.018204,"MD","pawpaw",1201,"Deciduous broadleaf",347548,498,"Colored leaves",2025,268,6,109
52757,38.030651,-84.503967,"KY","sugar maple",61,"Deciduous broadleaf",347652,498,"Colored leaves",2025,264,7,305
52757,38.030651,-84.503967,"KY","sugar maple",61,"Deciduous broadleaf",347652,471,"Falling leaves",2025,271,7,305
52757,38.030651,-84.503967,"KY","sugar maple",61,"Deciduous broadleaf",347655,498,"Colored leaves",2025,257,4,305
52757,38.030651,-84.503967,"KY","red maple",3,"Deciduous broadleaf",347659,498,"Colored leaves",2025,257,4,305
52757,38.030651,-84.503967,"KY","red maple",3,"Deciduous broadleaf",347661,498,"Colored leaves",2025,257,4,305
52757,38.030651,-84.503967,"KY","red maple",3,"Deciduous broadleaf",347662,498,"Colored leaves",2025,257,4,305
52757,38.030651,-84.503967,"KY","red maple",3,"Deciduous broadleaf",347663,498,"Colored leaves",2025,264,7,305
52757,38.030651,-84.503967,"KY","red maple",3,"Deciduous broadleaf",347664,498,"Colored leaves",2025,264,7,305
54118,40.038269,-76.57164,"PA","black cherry",28,"Deciduous broadleaf",347684,498,"Colored leaves",2025,247,7,147
54118,40.038269,-76.57164,"PA","black willow",1494,"Deciduous broadleaf",347687,498,"Colored leaves",2025,247,7,147
32789,40.73082,-73.99733,"NY","sweetgum",81,"Deciduous broadleaf",347718,498,"Colored leaves",2025,252,21,9
32789,40.73082,-73.99733,"NY","sweetgum",81,"Deciduous broadleaf",347718,471,"Falling leaves",2025,258,6,9
